mcc_code	mcc_label	factual_category_id
3636	Sarova Hotels	432
3637	Ramada Inns, Ramada Limited	432
3638	Ho Jo Inn, Howard Johnson	432
3639	Mount Charlotte Thistle	432
3640	Hyatt Hotel	432
3641	Sofitel Hotels	432
3642	Novotel Hotels	432
3643	Steigenberger Hotels	432
3644	Econo Lodges	432
3645	Queens Moat Houses	432
3646	Swallow Hotels	432
3647	Husa Hotels	432
3648	De Vere Hotels	432
3649	Radisson Hotels	432
3650	Red Rook Inns	432
3651	Imperial London Hotel	432
3652	Embassy Hotels	432
3653	Penta Hotels	432
3654	Loews Hotels	432
3655	Scandic Hotels	432
3656	Sara Hotels	432
3657	Oberoi Hotels	432
3658	Otani Hotels	432
3659	Taj Hotels International	432
3660	Knights Inns	432
3661	Metropole Hotels	432
3662	Hotels/motels/inns/resorts	432
3663	Hoteles El Presidents	432
3664	Flag Inn	432
3665	Hampton Inns	432
3666	Stakis Hotels	432
3667	Hotels/motels/inns/resorts	432
3668	Maritim Hotels	432
3669	Hotels/motels/inns/resorts	432
3670	Arcard Hotels	432
3671	Arctia Hotels	432
3672	Campaniel Hotels	432
3673	Ibusz Hotels	432
3674	Rantasipi Hotels	432
3675	Interhotel Cedok	432
3676	Hotels/motels/inns/resorts	432
3677	Climat De France Hotels	432
3678	Cumulus Hotels	432
3679	Danubius Hotel	432
3680	Hotels/motels/inns/resorts	432
3681	Adams Mark Hotels	432
3682	Allstar Inns	432
3683	Hotels/motels/inns/resorts	432
3684	Budget Host Inns	432
3685	Budgetel Hotels	432
3686	Suisse Chalets	432
3687	Clarion Hotels	432
3688	Compri Hotels	432
3689	Consort Hotels	432
3690	Courtyard By Marriott	432
3691	Dillion Inns	432
3692	Doubletree Hotels	432
3693	Drury Inns	432
3694	Economy Inns Of America	432
3695	Embassy Suites	432
3696	Exel Inns	432
3697	Farfield Hotels	432
3698	Harley Hotels	432
3699	Midway Motor Lodge	432
3700	Motel 6	432
3701	Guest Quarters (formally Pickett Suite Hotels)	432
3702	The Registry Hotels	432
3703	Residence Inns	432
3704	Royce Hotels	432
3705	Sandman Inns	432
3706	Shilo Inns	432
3707	Shoney’s Inns	432
3708	Hotels/motels/inns/resorts	432
3709	Super8 Motels	432
3710	The Ritz Carlton Hotels	432
3711	Flag Inns (ausralia)	432
3712	Golden Chain Hotel	432
3713	Quality Pacific Hotel	432
3714	Four Seasons Hotel (australia)	432
3715	Farifield Inn	432
3716	Carlton Hotels	432
3717	City Lodge Hotels	432
3718	Karos Hotels	432
3719	Protea Hotels	432
3720	Southern Sun Hotels	432
3721	Hilton Conrad	432
3722	Wyndham Hotel And Resorts	432
3723	Rica Hotels	432
3724	Iner Nor Hotels	432
3725	Seaines Planation	432
3726	Rio Suites	432
3727	Broadmoor Hotel	432
3728	Bally’s Hotel And Casino	432
3729	John Ascuaga’s Nugget	432
3730	Mgm Grand Hotel	432
3731	Harrah’s Hotels And Casinos	432
3732	Opryland Hotel	432
3733	Boca Raton Resort	432
3734	Harvey/bristol Hotels	432
3735	Hotels/motels/inns/resorts	432
3736	Colorado Belle/edgewater Resort	432
3737	Riviera Hotel And Casino	432
3738	Tropicana Resort And Casino	432
3739	Woodside Hotels And Resorts	432
3740	Townplace Suites	432
3741	Millenium Broadway Hotel	432
3742	Club Med	432
3743	Biltmore Hotel And Suites	432
3744	Carefree Resorts	432
3745	St. Regis Hotel	432
3746	The Eliot Hotel	432
3747	Clubcorp/club Resorts	432
3748	Welesley Inns	432
3749	The Beverly Hills Hotel	432
3750	Crowne Plaza Hotels	432
3751	Homewood Suites	432
3752	Peabody Hotels	432
3753	Greenbriah Resorts	432
3754	Amelia Island Planation	432
3755	The Homestead	432
3756	South Seas Resorts	432
3757	Hotels/motels/inns/resorts	432
3758	Hotels/motels/inns/resorts	432
3759	Hotels/motels/inns/resorts	432
3760	Hotels/motels/inns/resorts	432
3761	Hotels/motels/inns/resorts	432
3762	Hotels/motels/inns/resorts	432
3763	Hotels/motels/inns/resorts	432
3764	Hotels/motels/inns/resorts	432
3765	Hotels/motels/inns/resorts	432
3766	Hotels/motels/inns/resorts	432
3767	Hotels/motels/inns/resorts	432
3768	Hotels/motels/inns/resorts	432
3769	Hotels/motels/inns/resorts	432
3770	Hotels/motels/inns/resorts	432
3771	Hotels/motels/inns/resorts	432
3772	Hotels/motels/inns/resorts	432
3773	Hotels/motels/inns/resorts	432
3774	Hotels/motels/inns/resorts	432
3775	Hotels/motels/inns/resorts	432
3776	Hotels/motels/inns/resorts	432
3777	Hotels/motels/inns/resorts	432
3778	Hotels/motels/inns/resorts	432
3779	Hotels/motels/inns/resorts	432
3780	Hotels/motels/inns/resorts	432
3781	Hotels/motels/inns/resorts	432
3782	Hotels/motels/inns/resorts	432
3783	Hotels/motels/inns/resorts	432
3784	Hotels/motels/inns/resorts	432
3785	Hotels/motels/inns/resorts	432
3786	Hotels/motels/inns/resorts	432
3787	Hotels/motels/inns/resorts	432
3788	Hotels/motels/inns/resorts	432
3789	Hotels/motels/inns/resorts	432
3790	Hotels/motels/inns/resorts	432
3835	* Masters Economy Inns	432
4011	Railroads	415
4111	Local/suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.	415
4112	Passenger Railways	415
4119	Ambulance Services	71
4121	Taxicabs And Limousines	420
4131	Bus Lines, Including Charters, Tour Buses	422
4214	Motor Freight Carriers, Moving And Storage Companies, Trucking – Local/long Distance, Delivery Services – Local	303
4215	Courier Services – Air Or Ground, Freight Forwarders	303
4225	Public Warehousing, Storage	262
4411	Cruise And Steamship Lines	431
4457	Boat Rentals And Leases	408
4468	Marinas, Marine Service, And Supplies	408
4511	Airlines, Air Carriers ( Not Listed Elsewhere)	415
4582	Airports, Airport Terminals, Flying Fields	425
4722	Travel Agencies And Tour Operations	440
4723	Package Tour Operators (for Use In Germany Only)	439
4784	Toll And Bridge Fees	177
4789	Transportation Services, Not Elsewhere Classified)	303
4812	Telecommunications Equipment Including Telephone Sales	189
4814	Fax Services, Telecommunication Services	189
4815	Visaphone	219
4816	Computer Network Services	209
4821	Telegraph Services	189
4829	Money Orders – Wire Transfer	219
4899	Cable And Other Pay Television (previously Cable Services)	215
4900	Electric, Gas, Sanitary And Water Utilities	61
5013	Motor Vehicle Supplies And New Parts	6
5021	Office And Commercial Furniture	157
5039	Construction Materials, Not Elsewhere Classified	137
5044	Office, Photographic, Photocopy, And Microfilm Equipment	449
5045	Computers, Computer Peripheral Equipment, Software	209
5046	Commercial Equipment, Not Elsewhere Classified	157
5047	Medical, Dental Ophthalmic, Hospital Equipment And Supplies	75
5051	Metal Service Centers And Offices	157
5065	Electrical Parts And Equipment	133
5072	Hardware Equipment And Supplies	246
5074	Plumbing And Heating Equipment And Supplies	137
5085	Industrial Supplies, Not Elsewhere Classified	157
5094	Precious Stones And Metals, Watches And Jewelry	144
5099	Durable Goods, Not Elsewhere Classified	142
5111	Stationery, Office Supplies, Printing, And Writing Paper	131
5122	Drugs, Drug Proprietors, And Druggist’s Sundries	80
5131	Piece Goods, Notions, And Other Dry Goods	142
5137	Men’s Women’s And Children’s Uniforms And Commercial Clothing	142
5139	Commercial Footwear	145
5169	Chemicals And Allied Products, Not Elsewhere Classified	208
5172	Petroleum And Petroleum Products	183
5192	Books, Periodicals, And Newspapers	130
5193	Florists’ Supplies, Nursery Stock And Flowers	148
5198	Paints, Varnishes, And Supplies	137
5199	Non-durable Goods, Not Elsewhere Classified	177
5200	Home Supply Warehouse Stores	157
5211	Lumber And Building Materials Stores	137
5231	Glass, Paint, And Wallpaper Stores	137
5251	Hardware Stores	468
5261	Nurseries – Lawn And Garden Supply Store	164
5271	Mobile Home Dealers	255
5300	Wholesale Clubs	175
5309	Duty Free Store	142
5310	Discount Stores	442
5311	Department Stores	141
5331	Variety Stores	142
5399	Misc. General Merchandise	142
5411	Grocery Stores, Supermarkets	171
5422	Meat Provisioners – Freezer And Locker	443
5441	Candy, Nut, And Confectionery Stores	151
5451	Dairy Products Stores	149
5462	Bakeries	340
5499	Misc. Food Stores – Convenience Stores And Specialty Markets	138
5511	Car And Truck Dealers (new And Used) Sales, Service, Repairs, Parts, And Leasing	4
5521	Automobile And Truck Dealers (used Only)	4
5531	Automobile Supply Stores	6
5532	Automotive Tire Stores	12
5533	Automotive Parts, Accessories Stores	6
5541	Service Stations ( With Or Without Ancillary Services)	417
5542	Automated Fuel Dispensers	417
5551	Boat Dealers	408
5561	Recreational And Utility Trailers, Camp Dealers	255
5571	Motorcycle Dealers	16
5592	Motor Home Dealers	255
5598	Snowmobile Dealers	403
5599	Miscellaneous Auto Dealers 	4
5611	Men’s And Boy’s Clothing And Accessories Stores	142
