integrated_category_id	integrated_category_label	naics_code	sic_code
11171	Business and Professional Services > Translation Service	44	
11172	Business and Professional Services > Tutoring Service	44	
11173	Business and Professional Services > TV Station	515120	4833
11174	Business and Professional Services > Warehouse	452311	5311
11175	Business and Professional Services > Waste Management Service	562119	4212
11176	Business and Professional Services > Water Treatment Service	54	
11177	Business and Professional Services > Wedding Hall	812990	4899
11178	Business and Professional Services > Welding Service	44	
11179	Business and Professional Services > Wholesaler	44	
12000	Community and Government	54	
12001	Community and Government > Addiction Treatment Center	54	
12002	Community and Government > Animal Shelter	812910	752
12003	Community and Government > Cemetery	812220	6531
12004	Community and Government > Community Center	71	
12005	Community and Government > Cultural Center	71	
12006	Community and Government > Disabled Persons Service	624120	8322
12007	Community and Government > Domestic Abuse Treatment Center	54	
12008	Community and Government > Dump	44	
12009	Community and Government > Education	611710	8299
12010	Community and Government > Education > Adult Education	611710	8299
12011	Community and Government > Education > Art School	611710	8299
12012	Community and Government > Education > Circus School	711190	7929
12013	Community and Government > Education > College and University	6113	
12014	Community and Government > Education > College and University > College Academic Building	6113	
12015	Community and Government > Education > College and University > College Administrative Building	6113	
12016	Community and Government > Education > College and University > College Arts Building	6113	
12017	Community and Government > Education > College and University > College Auditorium	6113	
12018	Community and Government > Education > College and University > College Baseball Diamond	7139	
12019	Community and Government > Education > College and University > College Basketball Court	7139	
12020	Community and Government > Education > College and University > College Bookstore	451211	5192
12021	Community and Government > Education > College and University > College Cafeteria	722514	5812
12022	Community and Government > Education > College and University > College Classroom	6113	
12023	Community and Government > Education > College and University > College Communications Building	6113	
12024	Community and Government > Education > College and University > College Cricket Pitch	7139	
12025	Community and Government > Education > College and University > College Engineering Building	6113	
12026	Community and Government > Education > College and University > College Football Field	7139	
12027	Community and Government > Education > College and University > College Gym	713940	7991
12028	Community and Government > Education > College and University > College History Building	6113	
12029	Community and Government > Education > College and University > College Hockey Rink	7139	
12030	Community and Government > Education > College and University > College Lab	6113	
12031	Community and Government > Education > College and University > College Library	6113	
12032	Community and Government > Education > College and University > College Math Building	6113	
12033	Community and Government > Education > College and University > College Quad	6113	
12034	Community and Government > Education > College and University > College Rec Center	713940	7991
12035	Community and Government > Education > College and University > College Residence Hall	6113	
12036	Community and Government > Education > College and University > College Science Building	6113	
12037	Community and Government > Education > College and University > College Soccer Field	7139	
12038	Community and Government > Education > College and University > College Stadium	7139	
12039	Community and Government > Education > College and University > College Technology Building	6113	
12040	Community and Government > Education > College and University > College Tennis Court	7139	
12041	Community and Government > Education > College and University > College Theater	71	
12042	Community and Government > Education > College and University > College Track	7139	
12043	Community and Government > Education > College and University > Fraternity House	721310	7021
12044	Community and Government > Education > College and University > Law School	6113	
12045	Community and Government > Education > College and University > Medical School	611519	8243
12046	Community and Government > Education > College and University > Sorority House	721310	7021
12047	Community and Government > Education > College and University > Student Center	6113	
12048	Community and Government > Education > Community College	6113	
12049	Community and Government > Education > Computer Training School	611710	8299
12050	Community and Government > Education > Culinary School	611519	8243
12051	Community and Government > Education > Driving School	611692	8299
12052	Community and Government > Education > Flight School	611710	8299
12053	Community and Government > Education > Language School	611630	8299
12054	Community and Government > Education > Music School	611610	7911
12055	Community and Government > Education > Nursery School	624410	8351
12056	Community and Government > Education > Preschool	624410	8351
12057	Community and Government > Education > Primary and Secondary School	611710	8299
12058	Community and Government > Education > Primary and Secondary School > Elementary School	611110	8211
12059	Community and Government > Education > Primary and Secondary School > High School	611110	8211
12060	Community and Government > Education > Primary and Secondary School > Middle School	611110	8211
12061	Community and Government > Education > Private School	611110	8211
12062	Community and Government > Education > Religious School	611519	8243
12063	Community and Government > Education > Trade School	6115	
12064	Community and Government > Government Building	921120	9121
12065	Community and Government > Government Building > Capitol Building	921120	9121
12066	Community and Government > Government Building > City Hall	921120	9121
12067	Community and Government > Government Building > Courthouse	922110	9211
12068	Community and Government > Government Building > Embassy / Consulate	928120	9721
12069	Community and Government > Government Building > Government Department / Agency	921120	9121
12070	Community and Government > Government Building > Law Enforcement and Public Safety	921120	9121
12071	Community and Government > Government Building > Law Enforcement and Public Safety > Fire Station	922160	9224
12072	Community and Government > Government Building > Law Enforcement and Public Safety > Police Station	922120	9221
12073	Community and Government > Government Building > Military	922120	9221
12074	Community and Government > Government Building > Military > Military Base	928110	9711
12075	Community and Government > Government Building > Post Office	561499	7389
12076	Community and Government > Government Lobbyist	541820	8743
12077	Community and Government > Homeless Shelter	624221	8322
12078	Community and Government > Housing Authority	44	
12079	Community and Government > Housing Development	925110	9531
12080	Community and Government > Library	519120	7829
12081	Community and Government > Observatory	541715	8731
12082	Community and Government > Organization	54	
12083	Community and Government > Organization > Charity	813219	8399
12084	Community and Government > Organization > Club House	813410	8641
12085	Community and Government > Organization > Environmental Organization	813410	8641
12086	Community and Government > Organization > Non-Profit Organization	813219	8399
12087	Community and Government > Organization > Social Services Organization	813319	8399
12088	Community and Government > Organization > Veterans' Organization	813410	8641
12089	Community and Government > Organization > Youth Organization	813410	8641
12090	Community and Government > Prison	922140	9223
12091	Community and Government > Public and Social Service	54	
12092	Community and Government > Public Bathroom	NULL	
12093	Community and Government > Rehabilitation Center	622310	8069
12094	Community and Government > Residential Building	925110	9531
12095	Community and Government > Retirement Home	6233	
12096	Community and Government > Senior Citizen Service	44	
12097	Community and Government > Social Club	813410	8641
12098	Community and Government > Spiritual Center	813110	8661
12099	Community and Government > Spiritual Center > Buddhist Temple	813110	8661
12100	Community and Government > Spiritual Center > Cemevi	813110	8661
12101	Community and Government > Spiritual Center > Church	813110	8661
12102	Community and Government > Spiritual Center > Confucian Temple	813110	8661
12103	Community and Government > Spiritual Center > Hindu Temple	813110	8661
12104	Community and Government > Spiritual Center > Kingdom Hall	813110	8661
12105	Community and Government > Spiritual Center > Monastery	813110	8661
12106	Community and Government > Spiritual Center > Mosque	813110	8661
12107	Community and Government > Spiritual Center > Prayer Room	813110	8661
12108	Community and Government > Spiritual Center > Shrine	813110	8661
12109	Community and Government > Spiritual Center > Sikh Temple	813110	8661
12110	Community and Government > Spiritual Center > Synagogue	813110	8661
12111	Community and Government > Spiritual Center > Temple	813110	8661
12112	Community and Government > Spiritual Center > Terreiro	561499	7389
12113	Community and Government > Summer Camp	713990	7911
12114	Community and Government > Trailer Park	531190	6515
12115	Community and Government > Utility Company	44	
12116	Community and Government > Polling Place	423850	5087
13000	Dining and Drinking	72	
13001	Dining and Drinking > Bagel Shop	722515	5461
13002	Dining and Drinking > Bakery	722515	5461
13003	Dining and Drinking > Bar	722410	5813
13004	Dining and Drinking > Bar > Apres Ski Bar	722410	5813
13005	Dining and Drinking > Bar > Beach Bar	722410	5813
13006	Dining and Drinking > Bar > Beer Bar	722410	5813
13007	Dining and Drinking > Bar > Beer Garden	722410	5813
13008	Dining and Drinking > Bar > Champagne Bar	722410	5813
13009	Dining and Drinking > Bar > Cocktail Bar	722410	5813
13010	Dining and Drinking > Bar > Dive Bar	722410	5813
13011	Dining and Drinking > Bar > Gay Bar	722410	5813
13012	Dining and Drinking > Bar > Hookah Bar	722410	5813
13013	Dining and Drinking > Bar > Hotel Bar	722410	5813
13014	Dining and Drinking > Bar > Ice Bar	722410	5813
13015	Dining and Drinking > Bar > Karaoke Bar	722410	5813
13016	Dining and Drinking > Bar > Lounge	722410	5813
13017	Dining and Drinking > Bar > Piano Bar	71	
13018	Dining and Drinking > Bar > Pub	722410	5813
13019	Dining and Drinking > Bar > Rooftop Bar	722410	5813
13020	Dining and Drinking > Bar > Sake Bar	722410	5813
13021	Dining and Drinking > Bar > Speakeasy	722410	5813
13022	Dining and Drinking > Bar > Sports Bar	722410	5813
13023	Dining and Drinking > Bar > Tiki Bar	722410	5813
13024	Dining and Drinking > Bar > Whisky Bar	722410	5813
13025	Dining and Drinking > Bar > Wine Bar	722410	5813
13026	Dining and Drinking > BBQ Joint	7225	
13027	Dining and Drinking > Bistro	7225	
13028	Dining and Drinking > Breakfast Spot	7225	
13029	Dining and Drinking > Brewery	722410	5813
13030	Dining and Drinking > Buffet	722514	5812
13031	Dining and Drinking > Burger Joint	7225	
13032	Dining and Drinking > Cafes, Coffee, and Tea Houses	72	
13033	Dining and Drinking > Cafes, Coffee, and Tea Houses > Bubble Tea Shop	722330	5963
13034	Dining and Drinking > Cafes, Coffee, and Tea Houses > Café	7225	
13035	Dining and Drinking > Cafes, Coffee, and Tea Houses > Coffee Shop	722515	5461
13036	Dining and Drinking > Cafes, Coffee, and Tea Houses > Tea Room	722515	5461
13037	Dining and Drinking > Cafeteria	722514	5812
13038	Dining and Drinking > Cidery	312130	2084
13039	Dining and Drinking > Deli	7225	
13040	Dining and Drinking > Dessert Shop	722515	5461
13041	Dining and Drinking > Dessert Shop > Creperie	7225	
13042	Dining and Drinking > Dessert Shop > Cupcake Shop	722515	5461
13043	Dining and Drinking > Dessert Shop > Donut Shop	7225	
13044	Dining and Drinking > Dessert Shop > Frozen Yogurt Shop	722515	5461
13045	Dining and Drinking > Dessert Shop > Gelato Shop	7225	
13046	Dining and Drinking > Dessert Shop > Ice Cream Parlor	7225	
13047	Dining and Drinking > Dessert Shop > Pastry Shop	722515	5461
13048	Dining and Drinking > Dessert Shop > Pie Shop	722515	5461
13049	Dining and Drinking > Diner	7225	
13050	Dining and Drinking > Distillery	312140	2085
13051	Dining and Drinking > Fish and Chips Shop	7225	
13052	Dining and Drinking > Food Court	7225	
13053	Dining and Drinking > Food Stand	722330	5963
13054	Dining and Drinking > Food Truck	722330	5963
13055	Dining and Drinking > Fried Chicken Joint	7225	
13056	Dining and Drinking > Friterie	7225	
13057	Dining and Drinking > Gastropub	7225	
13058	Dining and Drinking > Hot Dog Joint	7225	
13059	Dining and Drinking > Juice Bar	722410	5813
